year,free_credit_total_millions,source_file,source_location_or_table,extraction_rule_used,raw_extracted_values,status,notes
1957,896.0,broker free-credit balances/1947-1969/frb_021958.pdf,"p.56, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1957-Dec; free=896,ok,December inferred from February Bulletin dating rule (frb_021958 for 1957).
1958,1159.0,broker free-credit balances/1947-1969/frb_021959.pdf,"p.73, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1958-Dec; free=1,159",ok,December inferred from February Bulletin dating rule (frb_021959 for 1958).
1959,996.0,broker free-credit balances/1947-1969/frb_021960.pdf,"p.67, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,date=1959-Dec; free=996,ok,December inferred from February Bulletin dating rule (frb_021960 for 1959).
1960,1135.0,broker free-credit balances/1947-1969/frb_021961.pdf,"p.65, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1960-Dec; free=1,135",ok,December inferred from February Bulletin dating rule (frb_021961 for 1960).
1961,1219.0,broker free-credit balances/1947-1969/frb_021962.pdf,"p.69, STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1961-Dec; free=1,219",ok,December inferred from February Bulletin dating rule (frb_021962 for 1961).
1962,1216.0,broker free-credit balances/1947-1969/frb_021963.pdf,"p.117 (printed p.229), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1962-Dec; free=1,216",ok,December inferred from February Bulletin dating rule (frb_021963 for 1962).
1963,1210.0,broker free-credit balances/1947-1969/frb_021964.pdf,"p.63 (printed p.201), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1963-Dec; free=1,210",ok,December inferred from February Bulletin dating rule (frb_021964 for 1963).
1964,1169.0,broker free-credit balances/1947-1969/frb_021965.pdf,"p.79 (printed p.287), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1964-Dec; free=1,169",ok,December inferred from February Bulletin dating rule (frb_021965 for 1964).
1965,1666.0,broker free-credit balances/1947-1969/frb_021966.pdf,"p.90 (printed p.235), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1965-Dec; free=1,666",ok,December inferred from February Bulletin dating rule (frb_021966 for 1965).
1966,1637.0,broker free-credit balances/1947-1969/frb_021967.pdf,"p.88 (printed p.272), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1966-Dec; free=1,637",ok,December inferred from February Bulletin dating rule (frb_021967 for 1966).
1967,2763.0,broker free-credit balances/1947-1969/frb_021968.pdf,"p.176 (A-30), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1967-Dec; free=2,763",ok,December inferred from February Bulletin dating rule (frb_021968 for 1967).
1968,3717.0,broker free-credit balances/1947-1969/frb_021969.pdf,"p.123 (A-34), STOCK MARKET CREDIT table; Customers' net free credit balances",Era1 Bulletin table-anchored extraction (frb_02(y+1)); prior-year December Free only,"date=1968-Dec; free=3,717",ok,December inferred from February Bulletin dating rule (frb_021969 for 1968).
1969,2802.0,broker free-credit balances/1947-1969/frb_021970.pdf,"p.120, 'STOCK MARKET CREDIT', column 'Customers' net free credit balances'",Era1 direct table extraction from Bulletin monthly table; use Dec from Feb(y+1) report,"monthly_values_1968Dec_to_1969Dec=[3717,3597,3647,3294,3077,3084,3084,2783,2577,2579,2753,2613,2802]; selected_1969Dec=2802",ok,December inferred from February Bulletin dating rule (frb_02(y+1)).
1970,2286.0,broker free-credit balances/1970-1996/70-79.pdf,"p.191, Table 23.B Customer financing (regular monthly table), MEMO free-credit row",Era2 regular monthly table; December extraction from monthly panel,"date=1970-Dec; unsplit_free_credit_row11=2,286",ok,1970 regular table presents an unsplit free-credit row; used the December free-credit total directly.
1971,2225.0,broker free-credit balances/1970-1996/70-79.pdf,"p.192, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1971-Dec; margin=390; cash=1,835; total=2,225",ok,Used regular table (not June 30 special table).
1972,2370.0,broker free-credit balances/1970-1996/70-79.pdf,"p.192, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1972-Dec; margin=415; cash=1,955; total=2,370",ok,Used regular table (not June 30 special table).
1973,2160.0,broker free-credit balances/1970-1996/70-79.pdf,"p.192, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1973-Dec; margin=455; cash=1,705; total=2,160",ok,Used regular table (not June 30 special table).
1974,1835.0,broker free-credit balances/1970-1996/70-79.pdf,"p.193, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1974-Dec; margin=410; cash=1,425; total=1,835",ok,Used regular table (not June 30 special table).
1975,2000.0,broker free-credit balances/1970-1996/70-79.pdf,"p.193, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1975-Dec; margin=475; cash=1,525; total=2,000",ok,Used regular table (not June 30 special table).
1976,2440.0,broker free-credit balances/1970-1996/70-79.pdf,"p.193, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1976-Dec; margin=585; cash=1,855; total=2,440",ok,Used regular table (not June 30 special table).
1977,2700.0,broker free-credit balances/1970-1996/70-79.pdf,"p.194, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1977-Dec; margin=640; cash=2,060; total=2,700",ok,Used regular table (not June 30 special table).
1978,3345.0,broker free-credit balances/1970-1996/70-79.pdf,"p.194, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1978-Dec; margin=835; cash=2,510; total=3,345",ok,Used regular table (not June 30 special table).
1979,5165.0,broker free-credit balances/1970-1996/70-79.pdf,"p.194, Table 23.B Customer financing, MEMO rows 11-12",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1979-Dec; margin=1,105; cash=4,060; total=5,165",ok,Used regular table (not June 30 special table).
1980,8175.0,broker free-credit balances/1970-1996/80-89.pdf,"p.166, Table 22B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=14721, free_margin=2105, free_cash=6070]",ok,
1981,10665.0,broker free-credit balances/1970-1996/80-89.pdf,"p.166, Table 22B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=14411, free_margin=3515, free_cash=7150]",ok,
1982,14125.0,broker free-credit balances/1970-1996/80-89.pdf,"p.166, Table 22B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=13325, free_margin=5735, free_cash=8390]",ok,
1983,15050.0,broker free-credit balances/1970-1996/80-89.pdf,"p.166, Table 22B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=23000, free_margin=6620, free_cash=8430]",ok,
1984,11970.0,broker free-credit balances/1970-1996/80-89.pdf,"p.166, Table 22B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=22470, free_margin=1755, free_cash=10215]",ok,
1985,15555.0,broker free-credit balances/1970-1996/80-89.pdf,"p.166, Table 22B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=28390, free_margin=2715, free_cash=12840]",ok,
1986,23880.0,broker free-credit balances/1970-1996/80-89.pdf,"p.167, Table 22B Customer financing continuation (year sequence Jan-Dec)",Era2 primary summary-table extraction: take Dec triplet for each year; total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=36840, free_margin=4880, free_cash=19000]",ok,
1987,20390.0,broker free-credit balances/1970-1996/80-89.pdf,"p.167, Table 22B Customer financing continuation (year sequence Jan-Dec)",Era2 primary summary-table extraction: take Dec triplet for each year; total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=31990, free_margin=4750, free_cash=15640]",ok,
1988,22255.0,broker free-credit balances/1970-1996/80-89.pdf,"p.167, Table 22B Customer financing continuation (year sequence Jan-Dec)",Era2 primary summary-table extraction: take Dec triplet for each year; total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=32740, free_margin=5660, free_cash=16595]",ok,
1989,25545.0,broker free-credit balances/1970-1996/80-89.pdf,"p.167, Table 22.B Customer financing (regular monthly table), MEMO rows 2-3",Era2 regular monthly table; total=Margin accounts + Cash accounts at December,"date=1989-Dec; margin=7,040; cash=18,505; total=25,545",ok,Used regular monthly table; excluded June 30 Special Table 80.
1990,27335.0,broker free-credit balances/1970-1996/90-95.pdf,"p.111, Table 19B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=28210, free_margin=8050, free_cash=19285]",ok,
1991,27545.0,broker free-credit balances/1970-1996/90-95.pdf,"p.111, Table 19B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=36660, free_margin=8290, free_cash=19255]",ok,
1992,31480.0,broker free-credit balances/1970-1996/90-95.pdf,"p.111, Table 19B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=43990, free_margin=8970, free_cash=22510]",ok,
1993,40075.0,broker free-credit balances/1970-1996/90-95.pdf,"p.111, Table 19B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=6010, free_margin=12360, free_cash=27715]",ok,Margin-credit line has OCR noise in places; free-margin and free-cash lines were used directly.
1994,42965.0,broker free-credit balances/1970-1996/90-95.pdf,"p.111, Table 19B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=61160, free_margin=14095, free_cash=28870]",ok,
1995,50590.0,broker free-credit balances/1970-1996/90-95.pdf,"p.111, Table 19B Customer financing, Dec row",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet=[margin_credit=76680, free_margin=16250, free_cash=34340]",ok,
1996,62970.0,broker free-credit balances/1970-1996/96-00.pdf,"p.102, Table 14B Customer financing, Dec row (first year block, 1996)",Era2 primary summary-table extraction: total = Margin accounts + Cash accounts,"dec_triplet_1996=[margin_credit=97400, free_margin=22540, free_cash=40430]",ok,
1997,88590.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=1997-12; cash_free=88590; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
1998,111507.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=1998-12; cash_free=111507; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
1999,146582.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=1999-12; cash_free=146582; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2000,198179.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2000-12; cash_free=198179; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2001,197424.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2001-12; cash_free=197424; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2002,184715.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2002-12; cash_free=184715; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2003,199297.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2003-12; cash_free=199297; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2004,238192.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2004-12; cash_free=238192; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2005,263205.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2005-12; cash_free=263205; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2006,299023.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2006-12; cash_free=299023; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2007,456353.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2007-12; cash_free=456353; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2008,345713.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2008-12; cash_free=345713; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2009,281043.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 special pre-2010-02 rule: only one populated free-credit column used as total,Year-Month=2009-12; cash_free=281043; margin_free=NA,ok,Applied special pre-2010-02 single-column free-credit rule.
2010,308524.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2010-12; cash_free=126098; margin_free=182426,ok,
2011,331676.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2011-12; cash_free=142533; margin_free=189143,ok,
2012,373782.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2012-12; cash_free=162206; margin_free=211576,ok,
2013,354521.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2013-12; cash_free=157000; margin_free=197521,ok,
2014,350518.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2014-12; cash_free=169295; margin_free=181223,ok,
2015,341489.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2015-12; cash_free=181812; margin_free=159677,ok,
2016,378041.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2016-12; cash_free=188062; margin_free=189979,ok,
2017,355772.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2017-12; cash_free=172999; margin_free=182773,ok,
2018,350315.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2018-12; cash_free=159572; margin_free=190743,ok,
2019,337858.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2019-12; cash_free=151543; margin_free=186315,ok,
2020,452114.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2020-12; cash_free=224987; margin_free=227127,ok,
2021,465551.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2021-12; cash_free=250435; margin_free=215116,ok,
2022,369967.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2022-12; cash_free=205902; margin_free=164065,ok,
2023,308658.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2023-12; cash_free=161639; margin_free=147019,ok,
2024,357075.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2024-12; cash_free=181280; margin_free=175795,ok,
2025,411482.0,broker free-credit balances/1997-2024/margin-statistics.xlsx,"Customer Margin Balances sheet, December row",Era3 monthly extraction (December): total = cash free credit + securities margin free credit,Year-Month=2025-12; cash_free=211720; margin_free=199762,ok,
