"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","POLICYIB","POLI_YIB","PLCYSTAB","PLCY_TAB","POLICYYB","POLI_YYB","INSPRPY1","INSP_PY1","INSPRPY2","INSP_PY2","INSPRPY3","INSP_PY3","INSPRPY4","INSP_PY4","INSPRPY5","INSP_PY5","INSPRPY6","INSP_PY6","PREMPAID","PREM_AID","PAYDEDPR","PAYD_DPR","QINSRDDZ","QINS_DDZ","QPROPDDZ","QPRO_DDZ","QRTINDDZ","QRTI_DDZ","QVH3MCMX","QVH3_CMX","QPR3MCMX","QPR3_CMX","QTN3MCMX","QTN3_CMX","QLIFCMX","QLIFCMX_","QOTHCMX","QOTHCMX_","INSPTYPE","INSP_YPE","INSCMB1","INSCMB1_","INSCMB2","INSCMB2_","INSCMB3","INSCMB3_","INSCMB4","INSCMB4_","INSCMB5","INSCMB5_","INSCMB6","INSCMB6_","INSCMB7","INSCMB7_","INSCMB8","INSCMB8_","INSCMB9","INSCMB9_","QLNGTCMX","QLNG_CMX","PREMOUT","PREMOUT_","PREMYOU","PREMYOU_"
"20131",2511695,79,2,"5",,"B",,"A","500","D",,"A",,"A",,"A",,"A",,"A",,"A",,"B",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",198,"E",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,80,0,"5","04","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,81,0,"5","05","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,82,0,"5","06","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,83,0,"5","07","D",,"A","300","D","02","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",660,"D",.,"A",.,"A",.,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511695,84,0,"5","08","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",190,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511735,42,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",300,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511735,44,0,"5","03","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",48,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511735,45,0,"5","04","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511735,46,0,"5","05","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511735,47,0,"5","06","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",126,"F",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511765,27,0,"1","03","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",507,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511765,29,0,"1","04","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511815,27,0,"5","01","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",183,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511855,17,0,"1","01","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511905,40,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511905,42,0,"5","03","D",,"A","110","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511905,43,0,"5","04","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511905,44,0,"5","05","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511905,45,0,"5","06","D",,"A","500","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511955,24,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511955,25,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",0,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511965,22,0,"1","01","D",,"A","110","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",400,"D",,"A",,"A"
"20131",2511965,23,0,"1","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",200,"F",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511975,31,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511975,32,0,"5","02","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511975,33,0,"5","03","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511975,34,0,"5","04","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511985,33,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",600,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511985,34,0,"5","03","D",,"A","400","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",1,"D",.,"A",.,"A",52,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511995,53,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511995,54,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2511995,55,0,"5","03","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",20,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512045,33,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",1800,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512045,35,0,"5","03","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",270,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512045,36,0,"5","04","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512055,21,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",150,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512085,24,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",270,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512105,31,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",200,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512105,32,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",800,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512105,33,0,"5","03","D",,"A","400","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512145,29,0,"1","03","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",336,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512165,36,0,"1","03","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",218,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512165,37,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",169,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512165,38,0,"5","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512195,28,0,"1","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",140,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512195,29,0,"1","02","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",590,"D",.,"A",.,"A",.,"A","1","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512205,41,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",90,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512205,42,0,"5","02","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",1802,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512205,43,0,"5","03","D",,"A","300","D","01","D",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",1,"D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512225,39,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512225,40,0,"5","02","D",,"A","400","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",1,"D",.,"A",.,"A",38,"D",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512225,41,0,"5","03","D",,"A","500","D",,"A",,"A",,"A",,"A",,"A",,"A","3","D",,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512265,21,0,"5","01","D",,"A","200","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",1,"D",.,"A",.,"A",100,"D",.,"A",.,"A",.,"A",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
"20131",2512285,25,0,"5","01","D",,"A","100","D",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D",.,"A",.,"A",.,"A",.,"A",.,"A",.,"A",0,"D",.,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.,"A",,"A",,"A"
